Company,Ticker,Shares Outstanding,Market Cap
Crown Castle Intl Corp,CCI,"333,771,000.00","28,998,024,480.00"
Cummins Inc,CMI,"174,321,000.00","20,400,786,630.00"
DTE Energy Co,DTE,"179,476,000.00","16,002,080,160.00"
DaVita HealthCare Partners Inc,DVA,"209,754,000.00","15,500,820,600.00"
Danaher Corp,DHR,"687,155,000.00","66,482,246,250.00"
Darden Restaurants Inc,DRI,"128,236,000.00","7,982,691,000.00"
Deere & Co,DE,"315,326,000.00","26,522,069,860.00"
Delphi Automotive PLC,DLPH,"277,534,000.00","20,434,828,420.00"
Delta Air Lines,DAL,"778,510,000.00","32,440,511,700.00"
Dentsply Sirona Inc,XRAY,"241,274,000.00","14,379,930,400.00"
Devon Energy Corp,DVN,"510,300,000.00","17,697,204,000.00"
Diamond Offshore Drilling,DO,"137,159,000.00","3,327,477,340.00"
Discover Financial Services,DFS,"414,201,000.00","23,307,090,270.00"
Discovery Communications Inc A,DISCA,"150,093,000.00","4,099,039,830.00"
Discovery Communications Inc C,DISCK,"253,177,000.00","6,780,080,060.00"
Dollar General Corp,DG,"290,935,000.00","23,830,485,850.00"
Dollar Tree Inc,DLTR,"234,796,000.00","18,715,589,160.00"
Dominion Resources Inc,D,"596,419,000.00","42,626,065,930.00"
Dover Corp,DOV,"155,009,000.00","10,184,091,300.00"
Dow Chemical,DOW,"1,117,112,000.00","58,771,262,320.00"
Dr Pepper Snapple Group,DPS,"187,350,000.00","17,031,988,500.00"
Duke Energy Corp,DUK,"688,380,000.00","54,230,576,400.00"
Dun & Bradstreet Corp,DNB,"36,171,000.00","3,993,640,110.00"
E*TRADE Financial Corp,ETFC,"282,709,000.00","7,118,612,620.00"
E. I. du Pont de Nemours and Company,DD,"871,681,000.00","57,452,494,710.00"
EMC Corp,EMC,"1,947,047,000.00","50,837,397,170.00"
EOG Resources,EOG,"549,883,000.00","45,431,333,460.00"
EQT Corporation,EQT,"159,672,000.00","11,193,007,200.00"
Eastman Chemical Co,EMN,"147,813,000.00","11,289,956,940.00"
Eaton Corp plc,ETN,"458,900,000.00","29,034,603,000.00"
Ecolab Inc,ECL,"296,002,000.00","34,034,309,960.00"
Edison Intl,EIX,"325,811,000.00","23,038,095,810.00"
Edwards Lifesciences Corp,EW,"214,598,000.00","22,792,453,580.00"
Electronic Arts,EA,"309,310,000.00","19,130,823,500.00"
Emerson Electric Co,EMR,"643,116,000.00","35,133,427,080.00"
Endo International plc,ENDP,"222,203,000.00","5,999,481,000.00"
Entergy Corp,ETR,"178,492,000.00","13,419,028,560.00"
Equifax Inc,EFX,"118,707,000.00","14,274,516,750.00"
Equinix Inc,EQIX,"68,900,000.00","22,761,115,000.00"
Equity Residential,EQR,"365,142,000.00","24,855,215,940.00"
Essex Property Trust,ESS,"65,412,000.00","14,420,075,400.00"
Estee Lauder Cos. A,EL,"221,917,000.00","21,275,182,790.00"
Eversource Energy,ES,"317,191,000.00","17,902,260,040.00"
Exelon Corp,EXC,"919,925,000.00","32,280,168,250.00"
Expedia,EXPE,"137,780,000.00","15,950,790,600.00"
Expeditors Intl of WA Inc,EXPD,"182,102,000.00","9,034,080,220.00"
Express Scripts Holding Co.,ESRX,"632,803,000.00","46,656,565,190.00"
Extra Space Storage Inc,EXR,"125,054,000.00","10,623,337,300.00"
Exxon Mobil Corp,XOM,"4,152,757,000.00","367,103,718,800.00"
F5 Networks Inc,FFIV,"68,754,000.00","7,201,981,500.00"
FLIR Systems Inc,FLIR,"137,559,000.00","4,155,657,390.00"
FMC Corp,FMC,"133,656,000.00","5,781,958,560.00"
FMC Technologies Inc,FTI,"226,906,000.00","6,918,363,940.00"
